Time (s)	 Latitude	 Longitude	Delta X	Delta Y
0	33.41725	-111.93252	0	0
6	33.4172	-111.93251	-5.559746376	-0.612385303
10	33.41714	-111.93252	-12.23144193	0
14	33.41709	-111.93252	-17.79118826	0
18	33.41704	-111.93252	-23.3509346	0
22	33.41699	-111.93252	-28.91068093	0
26	33.41694	-111.93253	-34.4704273	0.612381091
30	33.41689	-111.93253	-40.03017364	0.612380281
34	33.41684	-111.93253	-45.58991997	0.612379471
38	33.41679	-111.93253	-51.1496663	0.612378661
42	33.41674	-111.93253	-56.70941263	0.612377851
46	33.41669	-111.93253	-62.26915896	0.612377041
50	33.41664	-111.93253	-67.8289053	0.612376231
54	33.41659	-111.93253	-73.38865163	0.612375421
58	33.41654	-111.93252	-78.94839792	0
62	33.4165	-111.93252	-83.39619498	0
66	33.41645	-111.93251	-88.95594136	-0.612373154
70	33.4164	-111.93251	-94.51568769	-0.612372344
74	33.41635	-111.9325	-100.0754342	-1.224743067
79	33.4163	-111.9325	-105.6351805	-1.224741447
83	33.41625	-111.93249	-111.194927	-1.837109741
87	33.4162	-111.93249	-116.7546734	-1.837107311
92	33.41615	-111.93248	-122.31442	-2.449473175
96	33.41615	-111.93243	-122.3144229	-5.511314644
100	33.41615	-111.93237	-122.3144293	-9.185524406
105	33.41615	-111.9323	-122.3144409	-13.47210246
109	33.41614	-111.93224	-123.4264035	-17.14630769
113	33.41614	-111.93217	-123.4264232	-21.43288461
117	33.41614	-111.93211	-123.4264435	-25.1070934
121	33.41613	-111.93205	-124.5384164	-28.78129458
125	33.41613	-111.93199	-124.5384431	-32.4555024
129	33.41613	-111.93193	-124.5384731	-36.12971022
133	33.41613	-111.93186	-124.5385121	-40.416286
137	33.41613	-111.9318	-124.5385491	-44.09049382
141	33.41613	-111.93173	-124.5385962	-48.37706961
145	33.41613	-111.93167	-124.5386401	-52.05127743
149	33.41613	-111.93162	-124.5386791	-55.11311728
153	33.41612	-111.93156	-125.6506782	-58.78730954
157	33.41612	-111.9315	-125.6507312	-62.46151639
161	33.41612	-111.93143	-125.650797	-66.74809104
165	33.41612	-111.93136	-125.6508673	-71.0346657
169	33.41612	-111.93129	-125.6509419	-75.32124035
173	33.41612	-111.93123	-125.6510094	-78.9954472
177	33.41612	-111.93117	-125.65108	-82.66965404
181	33.41612	-111.93111	-125.6511539	-86.34386089
185	33.41612	-111.93105	-125.651231	-90.01806773
188	33.41611	-111.931	-126.7632469	-93.07988215
192	33.41611	-111.93093	-126.763344	-97.36645567
196	33.41611	-111.93086	-126.7634455	-101.6530292
200	33.41612	-111.9308	-125.6515867	-105.3272629
204	33.41612	-111.93073	-125.6516963	-109.6138376
209	33.41612	-111.93067	-125.6517937	-113.2880444
214	33.41612	-111.9306	-125.6519114	-117.5746191
218	33.41612	-111.93055	-125.6519982	-120.6364581
222	33.41612	-111.93049	-125.6521052	-124.310665
226	33.41611	-111.93043	-126.7641647	-127.9848379
230	33.41612	-111.93037	-125.652329	-131.6590786
234	33.41611	-111.93031	-126.7643949	-135.3332497
240	33.41614	-111.93026	-123.4286468	-138.3951977
243	33.41619	-111.93028	-117.8688603	-137.1706429
246	33.41624	-111.93029	-112.3090941	-136.5584546
250	33.41629	-111.9303	-106.7493279	-135.9462646
254	33.41635	-111.93031	-100.0776125	-135.3341089
258	33.4164	-111.93031	-94.5178662	-135.3342879
262	33.41646	-111.93031	-87.84617061	-135.3345027
266	33.41651	-111.93031	-82.28642428	-135.3346817
270	33.41656	-111.93031	-76.72667795	-135.3348607
274	33.41661	-111.93031	-71.16693162	-135.3350397
278	33.41667	-111.93031	-64.49523602	-135.3352545
282	33.41673	-111.93031	-57.82354043	-135.3354693
286	33.41679	-111.9303	-51.15186459	-135.9480627
290	33.41683	-111.93029	-46.70408738	-136.5605859
294	33.41689	-111.93029	-40.03239179	-136.5608026
298	33.41694	-111.93029	-34.47264546	-136.5609832
302	33.41698	-111.93029	-30.02484839	-136.5611277
306	33.41703	-111.93029	-24.46510206	-136.5613084
310	33.41709	-111.93028	-17.79342641	-137.1739086
314	33.41715	-111.93028	-11.12173081	-137.1741263
319	33.4172	-111.93028	-5.561984482	-137.1743078
326	33.41725	-111.93027	-0.002258182	-137.7868753
332	33.41728	-111.93032	3.333688864	-134.7250516
336	33.41728	-111.93039	3.333824066	-130.4383455
340	33.41728	-111.93045	3.333936473	-126.7640259
344	33.41727	-111.93051	2.222096403	-123.0896737
348	33.41727	-111.93058	2.222219739	-118.8029687
352	33.41727	-111.93065	2.222338703	-114.5162636
356	33.41726	-111.93071	1.110487928	-110.8419157
360	33.41726	-111.93078	1.110598774	-106.5552118
364	33.41726	-111.93084	1.110690305	-102.8808941
368	33.41726	-111.9309	1.110778625	-99.20657646
372	33.41726	-111.93096	1.110863733	-95.53225882
376	33.41726	-111.93102	1.11094563	-91.85794117
380	33.41726	-111.93108	1.111024315	-88.18362353
384	33.41726	-111.93114	1.111099789	-84.50930588
388	33.41726	-111.9312	1.11117205	-80.83498823
392	33.41726	-111.93126	1.111241101	-77.16067059
396	33.41726	-111.93131	1.111296189	-74.09873922
400	33.41726	-111.93138	1.111369566	-69.81203529
404	33.41725	-111.93144	-0.000520285	-66.13770015
408	33.41725	-111.93149	-0.000473226	-63.07576959
412	33.41724	-111.93155	-1.112368965	-59.4014372
416	33.41724	-111.93161	-1.112318649	-55.7271215
420	33.41724	-111.93167	-1.112271545	-52.0528058
424	33.41724	-111.93174	-1.11222065	-47.76610414
428	33.41725	-111.9318	-0.000231238	-44.0918001
432	33.41725	-111.93187	-0.000188461	-39.80509732
436	33.41725	-111.93193	-0.000155274	-36.13078064
440	33.41724	-111.93199	-1.112074565	-32.45645538
444	33.41725	-111.93205	-9.85E-05	-28.78214729
448	33.41725	-111.93211	-7.50E-05	-25.10783062
452	33.41726	-111.93217	1.111894624	-21.43351961
456	33.41726	-111.93223	1.111911753	-17.75920196
460	33.41726	-111.93228	1.111923573	-14.69727059
464	33.41726	-111.93235	1.111936376	-10.41056667
468	33.41726	-111.9324	1.111942843	-7.348635295
472	33.41726	-111.93246	1.111947661	-3.674317647
478	33.41726	-111.93251	1.111949222	-0.612386275
